datetime,start_time,end_time,concSS1,concSS2,concSS3,concSS4,concSS5
2013-10-31 13:00:00,2013-10-31 12:00:00,2013-10-31 14:00:00,1550.95,6680.64,12123.99,20109.28,16285.33
2013-10-31 15:00:00,2013-10-31 14:00:00,2013-10-31 16:00:00,66.93,219.63,368.43,702.47,1187.43
2013-10-31 17:00:00,2013-10-31 16:00:00,2013-10-31 18:00:00,99.28,218.22,286.63,479.42,874.22
2013-10-31 19:00:00,2013-10-31 18:00:00,2013-10-31 20:00:00,109.26,186.53,213.2,322.52,607.26
2013-10-31 21:00:00,2013-10-31 20:00:00,2013-10-31 22:00:00,133.61,201.44,197.39,288.45,560.6
2013-10-31 23:00:00,2013-10-31 22:00:00,2013-11-01 00:00:00,145.02,203.43,196.91,272.07,541.16
2013-11-01 01:00:00,2013-11-01 00:00:00,2013-11-01 02:00:00,157.21,235.65,238.44,307.35,531.68
2013-11-01 03:00:00,2013-11-01 02:00:00,2013-11-01 04:00:00,149.83,258.94,272.36,373.38,571.74
2013-11-01 05:00:00,2013-11-01 04:00:00,2013-11-01 06:00:00,166.85,265.43,302.05,443.34,744.17
2013-11-01 07:00:00,2013-11-01 06:00:00,2013-11-01 08:00:00,151.45,234.82,263.44,349.03,610.38
2013-11-01 09:00:00,2013-11-01 08:00:00,2013-11-01 10:00:00,159.72,228.17,274.08,342.76,577.25
2013-11-01 11:00:00,2013-11-01 10:00:00,2013-11-01 12:00:00,124.93,223.2,270.55,408.14,729.41
2013-11-01 13:00:00,2013-11-01 12:00:00,2013-11-01 14:00:00,128.23,226.19,303.96,422.94,694.68
2013-11-01 15:00:00,2013-11-01 14:00:00,2013-11-01 16:00:00,152.07,253.72,312.84,476.02,795.34
2013-11-01 17:00:00,2013-11-01 16:00:00,2013-11-01 18:00:00,164.15,296.69,329.23,491.35,809.62
2013-11-01 19:00:00,2013-11-01 18:00:00,2013-11-01 20:00:00,83.67,220.08,282.61,334.87,576.17
2013-11-01 21:00:00,2013-11-01 20:00:00,2013-11-01 22:00:00,112.4,221.76,254.1,315.72,534.82
2013-11-01 23:00:00,2013-11-01 22:00:00,2013-11-02 00:00:00,109.85,185.45,234.5,295.19,484.93
2013-11-02 01:00:00,2013-11-02 00:00:00,2013-11-02 02:00:00,87.91,176.5,203.34,235.62,415.55
2013-11-02 03:00:00,2013-11-02 02:00:00,2013-11-02 04:00:00,83.45,152.64,165.06,254.06,510.81
2013-11-02 05:00:00,2013-11-02 04:00:00,2013-11-02 06:00:00,74.34,170.1,207.27,343.02,415.3
2013-11-02 07:00:00,2013-11-02 06:00:00,2013-11-02 08:00:00,101.64,158.41,173.56,208.09,447.07
2013-11-02 09:00:00,2013-11-02 08:00:00,2013-11-02 10:00:00,91.38,148.34,177.43,224.17,408.14
2013-11-02 11:00:00,2013-11-02 10:00:00,2013-11-02 12:00:00,89.95,142.31,148.13,195.14,396.41
2013-11-02 13:00:00,2013-11-02 12:00:00,2013-11-02 14:00:00,105.21,159.15,181.47,238.66,424.83
2013-11-02 15:00:00,2013-11-02 14:00:00,2013-11-02 16:00:00,90.79,156.47,207.31,417.21,883.92
2013-11-02 17:00:00,2013-11-02 16:00:00,2013-11-02 18:00:00,113.53,268.49,316.16,501.9,627.38
2013-11-02 19:00:00,2013-11-02 18:00:00,2013-11-02 20:00:00,134.15,224.11,346.79,610.22,1073.03
2013-11-02 21:00:00,2013-11-02 20:00:00,2013-11-02 22:00:00,110.39,222.38,318.21,546.07,917.92
2013-11-02 23:00:00,2013-11-02 22:00:00,2013-11-03 00:00:00,115.48,225.5,307.81,495.92,861.73
2013-11-03 01:00:00,2013-11-03 00:00:00,2013-11-03 02:00:00,106.05,215.75,283.53,472.97,807.27
2013-11-03 03:00:00,2013-11-03 02:00:00,2013-11-03 04:00:00,127.12,202.74,226.56,371.82,624.08
2013-11-03 05:00:00,2013-11-03 04:00:00,2013-11-03 06:00:00,147.11,321.3,352.32,482.76,598.92
2013-11-03 07:00:00,2013-11-03 06:00:00,2013-11-03 08:00:00,202.5,388.9,301.6,400.71,673.96
2013-11-03 09:00:00,2013-11-03 08:00:00,2013-11-03 10:00:00,142.43,223.06,216.21,288.81,439.21
2013-11-03 11:00:00,2013-11-03 10:00:00,2013-11-03 12:00:00,128.79,253.0,225.05,365.54,506.48
2013-11-03 13:00:00,2013-11-03 12:00:00,2013-11-03 14:00:00,112.13,163.46,180.56,199.78,304.09
2013-11-03 15:00:00,2013-11-03 14:00:00,2013-11-03 16:00:00,70.48,129.78,200.27,213.82,213.65
2013-11-03 17:00:00,2013-11-03 16:00:00,2013-11-03 18:00:00,63.38,116.75,113.13,132.64,234.88
2013-11-03 19:00:00,2013-11-03 18:00:00,2013-11-03 20:00:00,100.89,129.02,121.02,169.15,219.42
2013-11-03 21:00:00,2013-11-03 20:00:00,2013-11-03 22:00:00,158.18,207.66,215.99,259.89,382.63
2013-11-03 23:00:00,2013-11-03 22:00:00,2013-11-04 00:00:00,193.35,302.04,293.37,348.7,585.86
2013-11-04 01:00:00,2013-11-04 00:00:00,2013-11-04 02:00:00,137.24,254.55,289.09,369.78,524.79
2013-11-04 03:00:00,2013-11-04 02:00:00,2013-11-04 04:00:00,93.0,215.43,259.85,357.76,419.22
2013-11-04 05:00:00,2013-11-04 04:00:00,2013-11-04 06:00:00,52.38,112.85,136.25,162.75,270.73
2013-11-04 07:00:00,2013-11-04 06:00:00,2013-11-04 08:00:00,23.03,56.72,81.59,110.97,207.63
2013-11-04 09:00:00,2013-11-04 08:00:00,2013-11-04 10:00:00,18.01,37.67,57.91,75.5,180.59
2013-11-04 11:00:00,2013-11-04 10:00:00,2013-11-04 12:00:00,19.7,49.39,47.7,58.44,155.67
2013-11-04 13:00:00,2013-11-04 12:00:00,2013-11-04 14:00:00,32.73,66.16,217.03,648.95,1279.51
2013-11-04 15:00:00,2013-11-04 14:00:00,2013-11-04 16:00:00,15.77,97.01,314.97,705.71,400.84
2013-11-04 17:00:00,2013-11-04 16:00:00,2013-11-04 18:00:00,31.76,149.22,138.94,180.37,308.41
2013-11-04 19:00:00,2013-11-04 18:00:00,2013-11-04 20:00:00,103.78,218.98,212.69,304.25,526.64
2013-11-04 21:00:00,2013-11-04 20:00:00,2013-11-04 22:00:00,116.21,194.26,221.36,294.65,531.36
2013-11-04 23:00:00,2013-11-04 22:00:00,2013-11-05 00:00:00,115.81,236.15,271.58,335.03,633.26
2013-11-05 01:00:00,2013-11-05 00:00:00,2013-11-05 02:00:00,184.13,213.71,212.75,256.01,442.44
2013-11-05 03:00:00,2013-11-05 02:00:00,2013-11-05 04:00:00,175.28,179.56,496.24,407.83,562.4
2013-11-05 05:00:00,2013-11-05 04:00:00,2013-11-05 06:00:00,207.58,368.56,341.19,409.23,765.23
2013-11-05 07:00:00,2013-11-05 06:00:00,2013-11-05 08:00:00,211.43,282.81,410.74,618.43,846.04
